Date,Country/Territory,Suspected,Confirmed,Imported Cases,Incidence Rate,Zika Case Deaths,Zika Congenital Syndrome,Population x1000e,Noncumulative Suspected,Noncumulative Confirmed,Noncumulative Zika Case Deaths,Noncumulative Zika Congenital Syndrome
2016-11-30,Ecuador,2668,833,15.0,21.367104058590176,0.0,0.0,16385,-54,21,0.0,0.0
2016-11-30,Cuba,0,3,30.0,0.026331958219959626,0.0,0.0,11393,0,0,0.0,0.0
2016-11-30,Brazil,200465,109596,0.0,147.9524545732173,6.0,2189.0,209568,0,0,0.0,30.0
2016-12-08,Subtotal ,160296,12339,46.0,124.35888200547471,0.0,69.0,138820,71338,-23693,-5.0,12.0
2016-12-08,Venezuela (Bolivarian Republic of),59235,2380,0.0,195.48526285732416,0.0,0.0,31519,88,0,0.0,0.0
2016-12-08,Peru,898,154,27.0,3.3530949193599797,0.0,0.0,31374,898,-17,0.0,0.0
2016-12-08,Ecuador,2693,839,15.0,21.556301495270063,0.0,0.0,16385,25,6,0.0,0.0
2016-12-08,Colombia,96729,8826,0.0,216.950302133432,0.0,60.0,48654,37,0,0.0,0.0
2016-12-08,Bolivia (Plurinational State of),741,140,4.0,8.09147685525349,0.0,9.0,10888,23,0,0.0,0.0
2016-12-08,Subtotal ,88958,36295,41.0,331.71694165629384,5.0,59.0,37759,-71338,23956,5.0,-10.0
2016-12-08,Saint Martin,2950,200,0.0,8750.0,0.0,0.0,36,0,0,0.0,0.0
2016-12-08,Saint Barthelemy,930,61,0.0,11011.111111111111,0.0,0.0,9,0,0,0.0,0.0
2016-12-08,Puerto Rico,0,34825,1.0,946.0744362944852,5.0,7.0,3681,0,263,0.0,2.0
2016-12-08,Martinique,36680,12,0.0,9265.656565656565,0.0,14.0,396,0,0,0.0,0.0
2016-12-08,Haiti,2955,5,0.0,27.28613569321534,0.0,1.0,10848,0,0,0.0,0.0
2016-12-08,Guadeloupe,30845,379,0.0,6629.299363057325,0.0,1.0,471,0,0,0.0,0.0
2016-12-08,Brazil,200465,109596,0.0,147.9524545732173,6.0,2211.0,209568,0,0,0.0,22.0
2016-12-08,French Guiana,9700,483,10.0,3689.4927536231885,0.0,14.0,276,0,0,0.0,0.0
2016-12-08,Cuba,0,3,30.0,0.026331958219959626,0.0,0.0,11393,0,0,0.0,0.0
2016-12-08,Subtotal ,51813,5062,77.0,122.64679878377504,0.0,30.0,46373,-37145,-31233,-5.0,-29.0
2016-12-08,Panama,2304,577,42.0,72.20551378446115,0.0,5.0,3990,136,33,0.0,0.0
2016-12-08,Nicaragua,0,2051,3.0,33.34959349593496,0.0,2.0,6150,0,6,0.0,2.0
2016-12-08,Honduras,31907,298,0.0,393.2234432234432,0.0,2.0,8190,44,0,0.0,0.0
2016-12-08,Guatemala,2785,466,0.0,19.498590535596474,0.0,15.0,16673,0,0,0.0,0.0
2016-12-08,El Salvador,11379,51,0.0,185.9746176374878,0.0,4.0,6146,16,0,0.0,0.0
2016-12-08,Costa Rica,2723,1553,32.0,88.0378834671608,0.0,2.0,4857,105,100,0.0,0.0
2016-12-08,Belize ,715,66,0.0,212.80653950953678,0.0,0.0,367,178,17,0.0,0.0
2016-12-08,Mexico,0,6851,15.0,5.3260463959201445,0.0,0.0,128632,0,87,0.0,0.0
2016-12-08,Subtotal ,0,186,4776.0,0.05159844205994296,0.0,34.0,360476,-51813,-4876,0.0,4.0
2016-12-08,United States of America,0,186,4389.0,0.057386330329292634,0.0,33.0,324119,0,3,0.0,0.0
2016-12-08,Dominican Republic,4898,327,0.0,49.065639966194006,0.0,22.0,10649,0,0,0.0,0.0
2016-12-08,Canada,0,0,382.0,0.0,0.0,1.0,36286,0,0,0.0,1.0
2016-12-08,Argentina,1821,26,27.0,4.212374848906425,0.0,2.0,43847,0,0,0.0,1.0
2016-12-08,Paraguay,589,14,0.0,8.966542750929367,0.0,2.0,6725,6,2,0.0,0.0
2016-12-08,TOTAL,520100,174214,5039.0,69.56775279547914,15.0,2411.0,998040,1810,867,0.0,28.0
2016-12-08,Subtotal ,16158,3845,27.0,271.63226507332973,4.0,4.0,7364,16158,3659,4.0,-30.0
2016-12-08,Virgin Islands (US),975,820,0.0,1742.7184466019417,0.0,0.0,103,172,358,0.0,0.0
2016-12-08,Virgin Islands (UK),51,38,0.0,261.7647058823529,0.0,0.0,34,0,0,0.0,0.0
2016-12-08,Turks and Caicos Islands,179,17,3.0,384.3137254901961,0.0,0.0,51,64,5,0.0,0.0
2016-12-08,Trinidad and Tobago,0,643,1.0,47.10622710622711,0.0,1.0,1365,0,0,0.0,0.0
2016-12-08,Suriname,2758,723,0.0,635.2189781021898,4.0,2.0,548,3,0,0.0,0.0
2016-12-08,Sint Maarten (Dutch part),168,62,0.0,560.9756097560976,0.0,0.0,41,0,0,0.0,0.0
2016-12-08,Saint Vincent and the Grenadines,156,38,0.0,190.19607843137254,0.0,0.0,102,0,0,0.0,0.0
